subscription_id,customer_id,renewal_date,subscription_length_months
2025,1925,17-05-2023,6
592,492,07-07-2023,3
285,185,21-06-2023,1
4483,4383,17-07-2023,12
4622,4522,27-05-2023,6
5736,5636,18-06-2023,1
2283,2183,13-05-2023,3
9663,9563,18-05-2023,12
1605,1505,03-06-2023,3
5643,5543,30-06-2023,1
9005,8905,03-05-2023,3
1392,1292,07-07-2023,3
5822,5722,17-07-2023,3
980,880,29-05-2023,3
9360,9260,18-07-2023,1
2887,2787,10-05-2023,12
6765,6665,17-06-2023,6
4443,4343,09-07-2023,3
3198,3098,31-07-2023,12
7587,7487,13-07-2023,1
3612,3512,20-05-2023,6
636,536,02-05-2023,12
662,562,06-07-2023,1
2454,2354,12-05-2023,6
1447,1347,20-05-2023,12
8295,8195,29-07-2023,6
6929,6829,06-05-2023,3
3830,3730,17-07-2023,6
2589,2489,09-07-2023,3
1673,1573,17-05-2023,3
2531,2431,06-05-2023,3
9717,9617,28-07-2023,12
5911,5811,29-07-2023,1
1008,908,10-07-2023,12
4438,4338,03-06-2023,3
3190,3090,17-05-2023,1
9471,9371,09-06-2023,6
1413,1313,16-06-2023,3
3110,3010,05-05-2023,6
1751,1651,27-05-2023,3
6303,6203,04-06-2023,3
869,769,21-06-2023,12
3036,2936,13-05-2023,1
9799,9699,01-05-2023,1
7863,7763,09-05-2023,3
9095,8995,10-06-2023,1
6742,6642,13-06-2023,1
1576,1476,30-05-2023,12
7379,7279,26-07-2023,6
353,253,07-06-2023,6
3710,3610,07-06-2023,12
9552,9452,01-05-2023,3
8264,8164,06-05-2023,6
3160,3060,04-05-2023,6
2851,2751,13-07-2023,6
3785,3685,29-07-2023,3
2935,2835,06-05-2023,6
9730,9630,27-05-2023,6
6830,6730,17-06-2023,12
9931,9831,18-06-2023,6
868,768,04-07-2023,6
2748,2648,26-06-2023,3
1181,1081,05-05-2023,12
7875,7775,14-06-2023,12
9279,9179,13-05-2023,1
9628,9528,18-06-2023,1
9407,9307,31-05-2023,3
8892,8792,17-05-2023,6
5641,5541,18-05-2023,6
4403,4303,13-07-2023,6
1289,1189,15-05-2023,6
5913,5813,07-06-2023,12
2347,2247,18-07-2023,1
8980,8880,25-05-2023,1
845,745,23-06-2023,12
334,234,02-05-2023,1
8898,8798,10-07-2023,6
6989,6889,29-07-2023,12
6068,5968,19-07-2023,3
8597,8497,30-07-2023,3
434,334,09-06-2023,6
581,481,31-05-2023,3
3916,3816,25-07-2023,12
1707,1607,01-06-2023,12
4636,4536,06-07-2023,1
2434,2334,07-07-2023,3
2735,2635,02-07-2023,6
8882,8782,11-06-2023,12
3145,3045,18-05-2023,6
4010,3910,10-07-2023,6
541,441,13-06-2023,12
6374,6274,07-07-2023,3
4518,4418,29-05-2023,1
7621,7521,22-06-2023,3
7826,7726,28-07-2023,6
866,766,20-06-2023,1
4804,4704,23-07-2023,6
1156,1056,21-07-2023,1
2366,2266,23-07-2023,1
5067,4967,27-06-2023,3
8749,8649,23-05-2023,6
3742,3642,16-05-2023,1
7293,7193,09-06-2023,6
4098,3998,07-06-2023,1
5768,5668,05-07-2023,6
764,664,04-06-2023,12
9789,9689,17-07-2023,3
8939,8839,18-07-2023,6
6898,6798,01-08-2023,12
3865,3765,22-06-2023,3
9769,9669,30-06-2023,1
2280,2180,28-07-2023,1
5668,5568,06-07-2023,12
679,579,05-05-2023,1
4171,4071,27-07-2023,3
9555,9455,03-05-2023,1
8153,8053,31-07-2023,1
5507,5407,25-05-2023,3
7206,7106,11-06-2023,6
6819,6719,23-05-2023,3
191,91,22-07-2023,6
4904,4804,23-05-2023,6
4389,4289,01-06-2023,1
7436,7336,12-06-2023,6
220,120,30-05-2023,3
4905,4805,13-05-2023,6
8605,8505,25-05-2023,3
2376,2276,02-07-2023,1
7817,7717,29-07-2023,6
1743,1643,04-06-2023,12
8851,8751,30-05-2023,12
6595,6495,23-05-2023,6
6431,6331,13-06-2023,12
5126,5026,18-07-2023,3
3032,2932,02-05-2023,6
9222,9122,20-06-2023,1
4578,4478,05-05-2023,12
4489,4389,08-07-2023,12
1384,1284,25-07-2023,3
9342,9242,01-05-2023,6
5834,5734,21-07-2023,12
675,575,19-05-2023,1
4114,4014,25-06-2023,12
4679,4579,10-06-2023,1
9431,9331,12-06-2023,12
6635,6535,10-06-2023,12
7406,7306,01-08-2023,12
5708,5608,24-05-2023,6
6800,6700,25-07-2023,3
8368,8268,23-05-2023,12
3590,3490,19-05-2023,1
5881,5781,23-07-2023,1
4042,3942,30-05-2023,12
2702,2602,19-06-2023,3
5963,5863,22-06-2023,1
5584,5484,05-06-2023,6
1474,1374,31-05-2023,6
552,452,02-06-2023,1
1393,1293,10-07-2023,12
9811,9711,05-05-2023,1
9937,9837,01-06-2023,6
5022,4922,20-05-2023,12
10012,9912,19-05-2023,6
4910,4810,09-06-2023,1
556,456,17-06-2023,3
9612,9512,04-06-2023,12
4521,4421,22-06-2023,1
577,477,25-06-2023,12
9491,9391,09-06-2023,12
5318,5218,22-07-2023,1
3500,3400,14-06-2023,3
5495,5395,08-06-2023,12
6069,5969,27-06-2023,12
8027,7927,08-05-2023,3
2317,2217,31-05-2023,3
5420,5320,19-06-2023,12
2227,2127,19-05-2023,6
6167,6067,25-07-2023,3
4201,4101,31-05-2023,1
3624,3524,08-07-2023,3
5681,5581,22-07-2023,12
1238,1138,21-06-2023,12
3834,3734,23-06-2023,1
4200,4100,16-07-2023,12
4252,4152,22-07-2023,12
5226,5126,11-06-2023,6
6698,6598,09-07-2023,6
6000,5900,04-05-2023,3
9748,9648,02-07-2023,3
8185,8085,01-05-2023,12
7640,7540,21-05-2023,1
3746,3646,27-07-2023,1
2705,2605,08-07-2023,1
3312,3212,25-07-2023,1
2966,2866,04-05-2023,6
2938,2838,29-07-2023,1
4777,4677,10-05-2023,3
2453,2353,03-06-2023,12
4283,4183,09-06-2023,12
2165,2065,14-07-2023,12
4666,4566,19-05-2023,1
3719,3619,23-06-2023,1
5776,5676,04-07-2023,1
6309,6209,14-06-2023,3
3169,3069,30-05-2023,1
1022,922,27-07-2023,12
545,445,09-07-2023,1
9465,9365,16-05-2023,12
8715,8615,28-06-2023,3
6684,6584,23-05-2023,1
9044,8944,27-07-2023,3
3587,3487,02-07-2023,3
4230,4130,21-05-2023,6
6661,6561,22-05-2023,3
7419,7319,01-07-2023,3
7694,7594,30-05-2023,6
8674,8574,23-05-2023,12
4397,4297,25-05-2023,12
9229,9129,20-06-2023,1
7029,6929,13-06-2023,3
1963,1863,16-06-2023,12
1049,949,23-05-2023,3
8096,7996,03-06-2023,3
3784,3684,06-07-2023,12
6173,6073,09-07-2023,6
7420,7320,15-06-2023,1
8051,7951,22-05-2023,12
4490,4390,19-06-2023,6
3974,3874,25-06-2023,1
1719,1619,04-07-2023,1
2290,2190,15-07-2023,3
7592,7492,23-06-2023,3
7368,7268,04-07-2023,1
9300,9200,18-05-2023,1
1306,1206,30-05-2023,6
6436,6336,06-05-2023,3
9078,8978,06-06-2023,12
9288,9188,06-05-2023,3
3246,3146,25-07-2023,3
4814,4714,08-06-2023,6
1905,1805,06-07-2023,3
7155,7055,20-05-2023,6
9764,9664,17-06-2023,12
3127,3027,04-07-2023,1
2197,2097,12-05-2023,12
8947,8847,31-05-2023,6
6910,6810,15-06-2023,12
308,208,19-07-2023,6
339,239,03-07-2023,12
8734,8634,25-06-2023,6
638,538,03-06-2023,6
3477,3377,22-07-2023,12
8311,8211,02-07-2023,1
1314,1214,04-07-2023,3
2424,2324,18-05-2023,1
6781,6681,08-07-2023,6
759,659,01-07-2023,12
7679,7579,04-05-2023,6
3864,3764,06-05-2023,1
4644,4544,22-06-2023,6
4831,4731,25-07-2023,3
9382,9282,24-07-2023,12
7189,7089,03-06-2023,12
2892,2792,30-06-2023,12
5531,5431,08-07-2023,1
1142,1042,25-06-2023,3
9738,9638,04-07-2023,1
687,587,21-05-2023,12
4536,4436,09-05-2023,1
2905,2805,01-06-2023,1
7667,7567,07-05-2023,3
2607,2507,29-06-2023,6
2755,2655,13-05-2023,12
104,4,16-07-2023,6
2994,2894,11-05-2023,3
8821,8721,20-05-2023,6
5291,5191,29-07-2023,3
9420,9320,02-06-2023,12
7713,7613,28-06-2023,6
911,811,05-07-2023,12
816,716,19-05-2023,12
1593,1493,05-05-2023,6
116,16,07-06-2023,12
3849,3749,28-05-2023,6
4608,4508,18-07-2023,3
9167,9067,19-05-2023,6
8445,8345,11-07-2023,3
7087,6987,14-05-2023,12
7739,7639,08-06-2023,1
1221,1121,19-05-2023,12
3047,2947,02-06-2023,1
8683,8583,26-07-2023,12
6215,6115,08-07-2023,1
7136,7036,12-07-2023,3
7082,6982,22-06-2023,6
4342,4242,02-06-2023,1
5325,5225,29-05-2023,3
2226,2126,22-06-2023,12
9635,9535,30-05-2023,1
5048,4948,17-05-2023,12
9577,9477,03-05-2023,6
1827,1727,21-07-2023,12
3432,3332,10-06-2023,1
9416,9316,22-05-2023,1
1443,1343,21-07-2023,12
2112,2012,25-06-2023,1
6035,5935,20-06-2023,6
4199,4099,08-05-2023,1
1680,1580,05-05-2023,12
10066,9966,25-07-2023,6
7185,7085,30-07-2023,3
6120,6020,26-06-2023,6
5651,5551,31-07-2023,6
3833,3733,20-07-2023,12
6326,6226,13-05-2023,12
6912,6812,24-06-2023,1
4883,4783,30-06-2023,3
7507,7407,21-07-2023,12
9973,9873,09-05-2023,1
7170,7070,28-06-2023,6
7657,7557,27-06-2023,3
6275,6175,11-05-2023,3
6751,6651,15-05-2023,1
4591,4491,19-06-2023,6
6967,6867,29-05-2023,3
6420,6320,18-07-2023,3
416,316,10-07-2023,3
4829,4729,30-05-2023,1
5221,5121,21-06-2023,12
8376,8276,06-07-2023,1
5597,5497,10-07-2023,6
2272,2172,03-06-2023,12
8048,7948,17-07-2023,12
7995,7895,21-06-2023,3
9743,9643,15-07-2023,3
3235,3135,24-05-2023,3
9439,9339,24-06-2023,12
5143,5043,12-07-2023,6
4485,4385,25-06-2023,1
4027,3927,07-05-2023,6
8934,8834,24-07-2023,3
10003,9903,24-05-2023,1
9530,9430,21-07-2023,1
4289,4189,17-07-2023,1
9131,9031,25-05-2023,6
1158,1058,16-07-2023,3
7261,7161,14-06-2023,6
8838,8738,22-05-2023,12
1898,1798,14-05-2023,1
3462,3362,11-07-2023,3
6172,6072,23-05-2023,3
5351,5251,14-05-2023,3
8891,8791,14-07-2023,12
5304,5204,12-07-2023,3
8574,8474,03-06-2023,12
4559,4459,02-06-2023,1
2302,2202,07-07-2023,1
4396,4296,16-07-2023,6
9528,9428,24-07-2023,12
912,812,03-06-2023,6
1721,1621,06-06-2023,12
9697,9597,06-06-2023,12
2802,2702,18-07-2023,6
5721,5621,25-07-2023,1
2963,2863,23-07-2023,1
4742,4642,10-06-2023,12
4022,3922,15-06-2023,12
7369,7269,11-05-2023,1
342,242,26-05-2023,6
7913,7813,31-05-2023,6
2875,2775,07-06-2023,3
791,691,26-06-2023,12
8279,8179,08-07-2023,3
8979,8879,14-06-2023,3
9256,9156,27-07-2023,12
405,305,26-06-2023,1
1969,1869,05-06-2023,3
977,877,20-06-2023,6
1429,1329,07-07-2023,6
1219,1119,07-07-2023,6
2493,2393,18-05-2023,12
8765,8665,22-05-2023,1
5839,5739,08-06-2023,3
8035,7935,06-06-2023,6
4193,4093,01-05-2023,1
5988,5888,23-05-2023,12
982,882,04-07-2023,3
4574,4474,13-06-2023,3
7118,7018,11-05-2023,12
2060,1960,08-06-2023,12
8796,8696,16-05-2023,3
4315,4215,03-06-2023,3
2107,2007,05-05-2023,1
2870,2770,27-05-2023,3
8899,8799,03-05-2023,6
8994,8894,06-07-2023,6
8411,8311,26-06-2023,12
848,748,30-05-2023,6
3998,3898,22-05-2023,12
2893,2793,11-07-2023,12
5471,5371,21-07-2023,1
4617,4517,27-07-2023,6
1793,1693,10-05-2023,1
6162,6062,08-05-2023,12
7623,7523,15-07-2023,3
1867,1767,31-05-2023,3
6505,6405,19-07-2023,3
4363,4263,15-07-2023,3
9512,9412,31-05-2023,1
5077,4977,14-05-2023,6
421,321,23-05-2023,3
9648,9548,20-07-2023,1
7199,7099,10-05-2023,3
986,886,22-05-2023,12
7438,7338,25-07-2023,6
1406,1306,10-07-2023,3
1020,920,04-07-2023,6
1608,1508,13-07-2023,6
8196,8096,05-06-2023,3
1080,980,29-07-2023,1
2627,2527,03-07-2023,1
2035,1935,06-07-2023,6
9741,9641,12-05-2023,6
4111,4011,14-05-2023,1
9307,9207,18-07-2023,12
4766,4666,20-07-2023,1
9122,9022,18-06-2023,1
7693,7593,25-06-2023,6
4757,4657,29-07-2023,1
708,608,11-05-2023,1
8061,7961,30-06-2023,6
7822,7722,11-05-2023,1
2407,2307,02-06-2023,6
1950,1850,03-06-2023,1
2791,2691,13-07-2023,3
9349,9249,20-05-2023,12
1640,1540,26-06-2023,3
5947,5847,07-07-2023,3
5193,5093,05-06-2023,3
1207,1107,17-05-2023,12
9824,9724,24-07-2023,6
7026,6926,08-05-2023,6
9631,9531,22-06-2023,1
6224,6124,12-05-2023,3
2916,2816,13-05-2023,3
5265,5165,01-05-2023,12
9834,9734,26-06-2023,1
4602,4502,17-07-2023,3
8638,8538,03-07-2023,12
4655,4555,18-06-2023,12
6709,6609,20-06-2023,12
2588,2488,09-07-2023,3
1379,1279,18-05-2023,12
6392,6292,17-05-2023,1
3712,3612,24-06-2023,6
8637,8537,22-07-2023,6
4437,4337,29-06-2023,12
8184,8084,16-05-2023,3
1939,1839,04-06-2023,3
5538,5438,22-07-2023,6
1488,1388,07-05-2023,1
2442,2342,15-06-2023,6
8547,8447,27-05-2023,3
6731,6631,15-06-2023,3
5189,5089,07-07-2023,3
2202,2102,26-06-2023,6
1555,1455,22-06-2023,12
7997,7897,12-06-2023,12
4025,3925,27-06-2023,1
7207,7107,08-07-2023,6
4836,4736,20-05-2023,1
6763,6663,04-06-2023,3
9580,9480,31-07-2023,12
6109,6009,26-06-2023,1
1249,1149,02-05-2023,3
5824,5724,11-05-2023,12
7492,7392,01-05-2023,1
2742,2642,24-07-2023,1
4286,4186,22-07-2023,6
8998,8898,23-05-2023,12
4722,4622,14-07-2023,12
3687,3587,01-06-2023,12
6378,6278,08-06-2023,1
6727,6627,28-07-2023,6
834,734,10-05-2023,12
2707,2607,08-07-2023,6
9189,9089,11-06-2023,3
7705,7605,26-05-2023,6
1460,1360,05-07-2023,1
9480,9380,31-05-2023,1
3351,3251,20-05-2023,6
2182,2082,20-05-2023,6
168,68,14-05-2023,1
5789,5689,08-05-2023,1
3755,3655,01-06-2023,12
1549,1449,30-07-2023,1
2360,2260,29-06-2023,3
2760,2660,23-06-2023,6
6492,6392,16-06-2023,6
3103,3003,14-05-2023,3
4082,3982,13-05-2023,3
6918,6818,07-05-2023,12
1065,965,09-07-2023,6
9597,9497,04-05-2023,3
3275,3175,30-07-2023,6
3284,3184,02-05-2023,6
7928,7828,01-07-2023,1
4248,4148,11-05-2023,1
4224,4124,30-07-2023,1
5453,5353,19-07-2023,12
754,654,12-07-2023,12
9035,8935,08-06-2023,3
7149,7049,01-07-2023,1
7502,7402,16-06-2023,6
4978,4878,26-06-2023,6
9804,9704,18-05-2023,3
10057,9957,28-05-2023,12
4897,4797,02-07-2023,6
4538,4438,20-07-2023,6
5936,5836,23-06-2023,3
520,420,21-05-2023,1
1029,929,07-05-2023,12
238,138,07-05-2023,1
2759,2659,21-05-2023,3
1574,1474,01-07-2023,12
2461,2361,22-07-2023,1
5008,4908,04-05-2023,12
3873,3773,27-07-2023,6
2667,2567,07-05-2023,12
7384,7284,19-05-2023,12
5870,5770,04-06-2023,12
8122,8022,27-05-2023,1
8169,8069,14-06-2023,12
3682,3582,26-06-2023,6
8432,8332,23-07-2023,1
5025,4925,31-07-2023,6
4360,4260,02-05-2023,12
2659,2559,21-06-2023,1
5155,5055,28-06-2023,6
6176,6076,15-05-2023,3
5612,5512,08-05-2023,12
5660,5560,27-07-2023,6
8514,8414,11-05-2023,12
8162,8062,17-06-2023,6
5908,5808,19-06-2023,1
1851,1751,02-05-2023,12
3911,3811,07-05-2023,12
337,237,04-05-2023,12
4454,4354,20-07-2023,3
1041,941,21-06-2023,1
1814,1714,15-06-2023,1
8256,8156,01-06-2023,12
3142,3042,09-05-2023,3
6045,5945,31-07-2023,12
8553,8453,03-06-2023,6
8786,8686,25-06-2023,6
6270,6170,11-06-2023,3
6514,6414,31-05-2023,6
10025,9925,30-05-2023,3
1209,1109,21-05-2023,6
3303,3203,08-05-2023,12
8490,8390,05-06-2023,3
2348,2248,11-06-2023,12
159,59,15-07-2023,6
7281,7181,25-06-2023,1
3344,3244,21-07-2023,6
9374,9274,30-05-2023,1
5006,4906,28-05-2023,3
1584,1484,01-05-2023,12
918,818,25-05-2023,1
6517,6417,01-06-2023,3
495,395,25-05-2023,1
1746,1646,27-07-2023,1
7566,7466,13-07-2023,12
7180,7080,06-06-2023,6
6123,6023,14-07-2023,12
9886,9786,14-06-2023,12
8958,8858,29-07-2023,1
9121,9021,07-07-2023,12
6770,6670,25-06-2023,6
1568,1468,07-06-2023,1
9636,9536,10-05-2023,1
3502,3402,05-07-2023,12
6204,6104,05-05-2023,12
958,858,19-05-2023,1
1708,1608,29-06-2023,1
865,765,29-07-2023,3
9998,9898,06-07-2023,12
1691,1591,13-05-2023,6
414,314,22-05-2023,3
4062,3962,19-05-2023,6
2555,2455,13-05-2023,12
5235,5135,21-06-2023,3
9378,9278,11-05-2023,6
2057,1957,10-06-2023,3
7116,7016,06-06-2023,12
4635,4535,07-07-2023,12
4738,4638,20-06-2023,6
4805,4705,18-05-2023,6
8350,8250,22-05-2023,1
8610,8510,26-06-2023,3
1940,1840,25-05-2023,3
4609,4509,08-05-2023,6
4465,4365,24-07-2023,6
4023,3923,11-06-2023,6
5387,5287,30-07-2023,6
2460,2360,17-06-2023,3
8067,7967,06-07-2023,12
2801,2701,16-07-2023,6
2269,2169,13-05-2023,6
2526,2426,20-06-2023,1
8556,8456,28-07-2023,1
4296,4196,09-06-2023,3
6599,6499,04-07-2023,12
3627,3527,21-05-2023,3
5817,5717,05-06-2023,6
5589,5489,15-06-2023,6
1506,1406,27-07-2023,1
988,888,05-07-2023,6
8073,7973,25-06-2023,6
6487,6387,26-07-2023,1
3405,3305,11-05-2023,12
8710,8610,04-07-2023,1
6342,6242,02-06-2023,6
9082,8982,19-07-2023,1
1853,1753,31-07-2023,12
598,498,31-05-2023,12
7194,7094,06-05-2023,1
4498,4398,12-07-2023,6
3846,3746,23-07-2023,6
1487,1387,22-07-2023,12
10042,9942,27-07-2023,12
7364,7264,28-05-2023,12
3832,3732,17-05-2023,6
9396,9296,03-07-2023,6
5255,5155,14-05-2023,6
1951,1851,14-07-2023,3
8336,8236,07-07-2023,3
8291,8191,05-05-2023,12
8383,8283,18-07-2023,12
4788,4688,28-06-2023,1
1536,1436,28-05-2023,3
9581,9481,01-06-2023,6
6156,6056,12-07-2023,12
7917,7817,07-07-2023,3
7670,7570,24-06-2023,6
393,293,14-06-2023,6
4223,4123,11-07-2023,6
3017,2917,11-06-2023,12
9745,9645,17-07-2023,6
7125,7025,22-06-2023,1
261,161,24-07-2023,1
8859,8759,28-05-2023,3
5070,4970,12-07-2023,1
8813,8713,14-07-2023,12
4524,4424,30-07-2023,6
8186,8086,30-06-2023,6
3504,3404,02-06-2023,1
2414,2314,19-05-2023,12
4444,4344,04-07-2023,1
6871,6771,05-06-2023,1
6941,6841,16-06-2023,3
2488,2388,12-06-2023,12
2208,2108,28-07-2023,6
2901,2801,02-07-2023,1
6649,6549,19-05-2023,1
456,356,29-05-2023,6
1036,936,02-06-2023,6
2553,2453,02-06-2023,1
622,522,28-05-2023,1
5256,5156,21-05-2023,12
7361,7261,30-06-2023,6
3575,3475,13-05-2023,12
6954,6854,28-06-2023,1
1335,1235,20-05-2023,3
8964,8864,10-06-2023,12
881,781,02-05-2023,12
9948,9848,16-07-2023,1
1956,1856,10-05-2023,1
4472,4372,04-05-2023,1
4982,4882,31-05-2023,3
9939,9839,01-07-2023,1
3330,3230,06-05-2023,1
4270,4170,05-07-2023,1
1533,1433,22-05-2023,3
9308,9208,20-07-2023,3
3238,3138,16-06-2023,3
3929,3829,10-05-2023,3
4963,4863,13-05-2023,12
310,210,02-07-2023,6
4828,4728,17-06-2023,12
9188,9088,27-07-2023,1
9966,9866,25-05-2023,6
8393,8293,13-07-2023,1
7431,7331,11-07-2023,12
7354,7254,02-07-2023,1
2658,2558,24-07-2023,6
4913,4813,24-05-2023,6
3475,3375,07-07-2023,3
923,823,28-06-2023,3
850,750,05-05-2023,1
9329,9229,06-07-2023,3
4137,4037,15-07-2023,1
1211,1111,09-05-2023,1
8478,8378,02-07-2023,3
8901,8801,02-07-2023,6
9221,9121,14-05-2023,1
5212,5112,21-07-2023,3
5838,5738,04-07-2023,6
1890,1790,26-06-2023,3
9502,9402,06-07-2023,1
2888,2788,16-05-2023,1
6437,6337,10-07-2023,1
1647,1547,17-05-2023,6
8016,7916,28-06-2023,1
