trade_id,client_id,salesperson_id,trade_date,facevalue,actual_revenue,churn_date
136,107,6,2023-03-23,477886,498965,
137,724,73,2023-04-27,146999,159490,
138,599,12,2023-05-23,593853,597913,
139,684,65,2023-06-14,826715,528856,2023-07-08
140,193,28,2023-07-14,831189,695370,2023-07-27
141,135,68,2023-03-27,290528,299547,
142,412,13,2023-07-04,994392,714941,2023-07-24
143,103,52,2023-05-07,252626,65754,2023-06-22
144,306,2,2023-07-12,712772,728266,
145,1,65,2023-04-09,139454,99418,2023-06-07
146,328,58,2023-04-13,964717,972263,
147,558,39,2023-07-22,641654,331391,2023-08-10
148,529,17,2023-03-22,941668,327982,2023-05-15
149,362,73,2023-03-29,993052,360013,2023-04-22
150,279,22,2023-02-13,901864,906165,
151,556,71,2023-06-24,558256,492212,2023-08-09
152,742,9,2023-06-06,952508,740137,2023-06-28
153,115,3,2023-07-13,299034,332853,
154,461,65,2022-10-18,371929,388330,
155,439,3,2023-07-14,935420,452364,2023-07-16
156,653,1,2023-02-15,107045,123029,
157,505,1,2023-06-02,661162,434838,2023-06-15
158,546,16,2023-05-23,459361,505254,
159,268,12,2023-05-08,129810,133086,
160,696,65,2023-06-04,427418,455313,
161,63,21,2023-08-11,946058,577529,2023-08-11
162,317,58,2023-06-29,639798,55417,2023-08-08
163,139,49,2023-05-17,844900,868919,
164,669,28,2023-08-09,364982,392255,
165,294,69,2022-09-08,725682,748411,
166,281,2,2023-07-17,306005,320581,
167,497,70,2023-03-15,901115,905250,
168,419,18,2023-01-14,267216,197042,2023-02-10
169,153,22,2023-07-28,973116,46928,2023-08-06
170,349,55,2023-07-25,550195,544374,2023-07-31
171,415,32,2023-04-01,971731,988916,
172,676,28,2023-08-06,168024,171160,
173,692,38,2022-09-18,208837,192367,2023-07-02
174,174,3,2023-06-22,847168,874163,
175,566,18,2022-12-09,374029,395321,
176,137,29,2023-05-02,794721,800533,
177,521,63,2023-01-27,823320,99222,2023-04-19
178,524,24,2023-01-17,211556,224720,
179,35,16,2023-07-17,758600,780949,
180,628,69,2022-12-24,712797,735904,
181,196,19,2023-06-12,623670,258745,2023-06-15
182,307,14,2022-12-31,757059,73760,2023-01-22
183,472,45,2023-06-18,653190,685655,
184,291,58,2023-08-09,549131,409041,2023-08-09
185,621,33,2023-07-10,462952,485955,
186,92,33,2023-07-10,176879,211795,
187,496,64,2023-07-07,385570,149251,2023-07-16
188,558,2,2023-03-22,414151,441148,
189,673,19,2023-04-26,72531,96359,
190,43,70,2023-07-12,639505,654673,
191,747,52,2023-08-01,710495,412055,2023-08-04
192,455,6,2023-03-12,205569,209319,
193,583,32,2023-06-09,594599,581023,2023-06-19
194,308,47,2023-07-21,799463,162858,2023-08-09
195,55,57,2023-05-24,354849,372493,
196,282,44,2023-07-27,507844,526725,
197,92,60,2023-04-22,495134,511676,
198,446,48,2023-04-11,519039,548232,
199,522,34,2023-03-15,430745,442267,
200,51,3,2023-08-11,942315,961949,
201,167,70,2023-05-14,148189,181821,
202,602,38,2023-05-12,587533,595698,
203,697,43,2023-01-18,415529,434527,
204,288,2,2023-03-19,936610,758426,2023-08-11
205,348,60,2023-07-03,736220,754375,
206,83,51,2023-02-05,515006,76532,2023-06-22
207,224,59,2023-05-25,474914,289088,2023-07-04
208,374,46,2023-01-14,617389,639929,
209,556,14,2023-06-26,70817,137725,
210,656,19,2023-06-06,805232,98196,2023-07-20
211,629,15,2023-06-25,173233,190974,
212,542,26,2022-10-09,989233,999095,
213,117,33,2023-06-23,265394,284184,
214,237,50,2023-06-03,813213,841914,
215,372,66,2023-04-19,646460,677464,
216,275,5,2023-07-21,653845,680441,
217,239,55,2022-11-12,558469,570450,
218,153,69,2023-07-28,989050,59339,2023-08-10
219,291,66,2023-02-01,711280,183126,2023-06-20
220,429,1,2023-05-22,657560,686571,
221,261,54,2023-03-24,925631,566349,2023-03-29
222,749,11,2023-07-27,91500,106404,
223,704,18,2023-05-05,733651,736970,
224,223,1,2022-11-26,178776,215759,
225,263,25,2023-06-07,421087,438493,
226,575,66,2022-12-10,603054,85722,2023-04-16
227,607,31,2022-12-08,901399,555624,2023-04-12
228,467,53,2022-11-10,493407,496240,
229,489,70,2023-02-24,261642,295051,
230,250,18,2023-01-27,212576,222963,
231,50,48,2023-07-24,889066,96412,2023-07-26
232,544,71,2023-07-12,792214,447734,2023-08-04
233,337,66,2023-07-16,206698,268874,
234,609,47,2023-07-07,175178,225608,
235,148,42,2023-04-09,418714,373279,2023-06-10
236,158,4,2023-06-27,290558,306494,
237,310,53,2023-07-21,450510,453349,
238,615,65,2023-01-26,837920,811445,2023-03-22
239,16,57,2023-05-02,687126,693013,
240,417,24,2023-04-14,79134,116092,
241,544,48,2023-05-16,555548,588676,
242,155,58,2023-02-11,967840,320783,2023-08-07
243,8,15,2023-02-18,832365,838620,
244,127,34,2023-07-15,604032,619604,
245,327,14,2023-08-09,688927,666971,2023-08-11
246,592,53,2022-10-24,727586,735567,
247,2,3,2022-11-16,855806,464192,2023-01-22
248,32,17,2023-08-07,184613,184731,
249,532,42,2023-08-10,209624,211414,
250,471,29,2023-04-08,106860,154426,
251,100,44,2023-04-28,941542,943066,
252,117,57,2023-01-25,156951,187906,
253,536,51,2023-04-03,916793,765873,2023-04-05
254,553,61,2023-07-03,607704,621560,
255,693,30,2023-03-24,984379,648921,2023-08-11
256,166,57,2023-03-31,696780,699021,
257,548,59,2023-04-25,580203,599334,
258,595,28,2023-04-13,958533,360128,2023-04-24
259,203,66,2023-07-18,523713,549122,
260,534,3,2023-07-21,501665,505260,
261,171,30,2023-07-11,232532,242139,
262,10,16,2023-07-24,690197,275290,2023-08-05
263,21,58,2022-11-21,643765,227009,2023-01-23
264,1,52,2023-03-26,717067,740187,
265,348,3,2023-07-26,163242,83698,2023-07-26
266,482,47,2023-03-27,685705,672263,2023-05-02
267,520,31,2023-04-13,378664,311287,2023-07-01
268,110,30,2022-12-26,95930,118178,
269,153,17,2023-07-08,784401,793877,
270,707,59,2023-04-23,612402,621942,
271,158,32,2023-04-11,883168,895483,
272,587,66,2023-07-30,926037,929653,
273,612,26,2023-07-24,146127,200097,
274,261,52,2023-07-24,853845,886113,
275,480,57,2022-09-08,386551,429946,
276,518,71,2023-06-05,971222,791817,2023-06-18
277,306,15,2023-07-14,805723,795141,2023-07-24
278,196,29,2023-06-22,102529,114391,
279,291,8,2023-05-31,343850,366913,
280,107,16,2023-03-09,434092,182706,2023-03-17
281,480,45,2023-04-28,333184,353191,
282,36,68,2023-07-17,455997,261914,2023-08-05
283,561,19,2023-08-09,826016,835756,
284,616,23,2023-08-05,759178,769695,
285,460,38,2023-05-08,670563,694227,
286,594,52,2023-04-06,51287,56800,
287,663,66,2023-08-11,204871,166174,2023-08-11
288,455,1,2023-04-25,132701,170130,
289,377,32,2023-08-11,615568,626584,
290,601,37,2023-07-14,504293,539173,
291,359,62,2023-08-10,364735,378310,
292,708,8,2023-04-16,934981,547535,2023-08-06
293,437,47,2023-05-27,518338,546682,
294,26,13,2023-08-08,898241,907859,
295,138,48,2023-06-04,443523,465881,
296,420,70,2023-03-15,837012,595978,2023-04-28
297,643,63,2023-01-28,65583,81918,
298,217,6,2023-04-30,58961,82683,
299,650,70,2023-08-08,944781,948777,
300,576,28,2023-08-07,212815,219824,
301,412,12,2023-05-28,296002,329416,
302,260,60,2023-06-23,717604,354748,2023-07-02
303,370,15,2022-10-03,579732,603726,
304,242,55,2023-05-26,934719,813401,2023-07-09
305,526,26,2023-05-05,884806,909417,
306,564,12,2023-01-20,433682,464511,
307,666,64,2023-05-24,998550,807529,2023-06-03
308,493,19,2023-07-08,663432,36518,2023-07-22
309,584,23,2023-03-29,305506,328875,
310,61,28,2023-06-13,372333,388674,
311,531,28,2023-06-26,472474,480432,
312,435,52,2023-05-20,304911,202618,2023-08-06
313,423,1,2023-01-13,618510,640306,
314,440,69,2023-05-25,405450,410447,
315,102,20,2023-02-01,472095,122650,2023-07-26
316,381,27,2023-05-09,769882,773009,
317,313,44,2023-06-26,176736,197172,
318,502,47,2023-01-25,140702,179377,
319,60,54,2022-12-15,766196,766542,
320,436,52,2023-08-06,883856,893549,
321,564,43,2022-12-14,581448,504760,2023-04-29
322,751,32,2023-07-31,538858,543418,
323,1,23,2023-03-19,168619,189669,
324,286,17,2023-05-23,935476,412143,2023-06-02
325,478,2,2023-06-17,712855,40346,2023-07-11
326,115,9,2023-06-06,152288,164246,
327,66,29,2023-04-27,722035,328221,2023-04-29
328,640,18,2023-01-25,769947,488505,2023-06-28
329,53,42,2023-07-15,117182,167875,
330,391,61,2023-05-30,940933,608770,2023-06-10
331,361,40,2023-07-10,629843,375449,2023-07-17
332,587,19,2023-05-02,441363,455592,
333,149,58,2023-03-20,137194,156802,
334,322,60,2023-04-22,74100,76344,
335,415,53,2023-01-17,190470,202383,
336,483,36,2023-07-16,805165,764370,2023-07-30
337,72,38,2023-07-26,500883,546637,
338,479,18,2023-03-07,384053,225081,2023-08-09
339,37,68,2023-06-27,523373,538739,
340,339,47,2023-04-03,228863,149330,2023-07-08
341,150,44,2023-07-31,449164,451244,
342,234,63,2023-04-22,102422,140460,
343,718,5,2023-03-18,201352,218328,
344,334,5,2023-05-31,957646,603679,2023-07-31
345,663,13,2023-01-07,391903,292279,2023-01-24
346,343,5,2023-05-14,648599,139437,2023-06-07
347,751,10,2023-07-27,652552,62760,2023-08-07
348,313,61,2023-07-06,381633,254496,2023-07-27
349,401,72,2023-08-11,143760,153169,
350,129,22,2023-08-04,347620,235642,2023-08-11
351,292,18,2023-02-28,836272,838321,
352,732,58,2023-07-31,444010,448400,
353,597,67,2023-04-12,249481,273027,
354,574,27,2023-07-16,813792,827275,
355,635,7,2023-03-23,661496,669115,
356,537,1,2023-08-10,807890,550752,2023-08-10
357,228,8,2023-03-30,284475,284707,
358,440,58,2023-05-27,966589,976733,
359,312,9,2023-04-11,625331,246206,2023-04-20
360,468,14,2023-07-09,550785,563671,
361,714,57,2022-12-21,558857,201962,2023-06-10
362,534,3,2023-03-18,500970,477959,2023-08-07
363,382,41,2023-04-07,623880,628376,
364,53,36,2023-07-18,154276,162799,
365,607,39,2023-03-19,502269,514608,
366,628,73,2023-02-02,971585,973904,
367,289,30,2023-06-10,65266,80776,
368,704,55,2023-07-15,410335,441880,
369,216,66,2023-05-06,426530,318401,2023-07-03
370,65,3,2023-02-03,624893,641717,
371,113,15,2023-06-20,693997,164746,2023-07-10
372,409,50,2023-07-07,360297,393558,
373,196,27,2023-06-30,810415,819875,
374,457,34,2023-05-23,386789,118215,2023-07-20
375,337,68,2023-06-15,950192,191968,2023-07-30
376,143,59,2023-02-05,186845,217336,
377,258,24,2023-04-28,799426,723276,2023-06-15
378,56,21,2023-07-05,527020,532890,
379,678,8,2023-02-11,610753,131427,2023-05-31
380,567,51,2023-07-04,78563,103124,
381,450,69,2023-07-01,190862,213988,
382,539,7,2023-05-27,650305,48551,2023-06-19
383,200,68,2023-06-28,297112,320393,
384,464,64,2023-06-30,330975,46280,2023-07-29
385,455,47,2023-07-15,338014,355286,
386,159,24,2023-06-21,673520,261379,2023-08-07
387,93,1,2023-07-23,777778,521120,2023-07-28
388,83,6,2023-06-12,276288,160160,2023-07-17
389,375,42,2023-07-18,696399,706799,
390,525,40,2023-08-02,285867,285939,
391,729,33,2023-07-10,64519,108053,
392,159,62,2023-05-01,719045,93667,2023-06-27
393,206,44,2023-06-04,51574,103533,
394,179,50,2023-07-10,852471,854769,
395,165,16,2022-12-20,256486,266284,
396,222,28,2023-07-09,61323,99321,
397,103,54,2023-03-26,970699,154183,2023-07-18
398,448,58,2023-07-19,898857,328277,2023-08-01
399,739,29,2023-08-08,942104,948147,
400,95,64,2023-07-20,673019,682224,
401,629,17,2023-07-02,861389,299607,2023-08-11
402,169,40,2023-06-30,189561,226898,
403,287,56,2023-06-05,100421,145391,
404,348,14,2023-07-14,930293,481966,2023-08-01
405,656,56,2023-05-08,715261,568596,2023-05-30
406,483,71,2023-07-20,761466,232225,2023-08-11
407,676,49,2023-08-08,995214,342974,2023-08-11
408,112,68,2023-06-15,867395,493260,2023-07-06
409,292,53,2023-03-12,937349,947042,
410,518,72,2023-07-14,757001,768660,
411,599,23,2023-07-20,547620,550190,
412,396,55,2023-06-30,99289,120483,
413,561,57,2023-08-04,179911,222411,
414,382,20,2023-07-18,605670,623304,
415,418,55,2023-04-09,269030,273038,
416,67,28,2023-05-26,57569,68667,
417,27,36,2023-04-11,719655,738291,
418,508,65,2023-07-03,861878,510954,2023-08-11
419,452,54,2023-07-02,400382,334842,2023-08-03
420,690,48,2023-07-02,545554,564633,
421,360,37,2023-06-26,759967,370644,2023-07-04
422,661,64,2023-02-20,256576,274682,
423,267,45,2023-02-06,497111,234349,2023-08-05
424,371,36,2023-08-11,465945,477011,
425,478,57,2023-06-10,270224,315145,
426,112,66,2023-06-17,181342,189781,
427,304,3,2023-05-18,822856,371806,2023-05-27
428,473,41,2023-03-10,975961,662247,2023-05-25
429,9,68,2023-04-09,611238,632537,
430,480,49,2022-12-31,507575,536945,
431,713,30,2023-06-22,952687,959825,
432,111,38,2023-06-22,766122,390618,2023-06-23
433,567,10,2023-08-04,941279,945173,
434,56,60,2023-07-20,701315,717552,
435,496,60,2023-05-02,900500,840589,2023-07-27
436,110,47,2022-10-06,506013,540811,
437,408,29,2023-07-17,210302,257682,
438,289,42,2023-06-15,934694,505733,2023-06-25
439,523,37,2023-01-05,366212,402909,
440,661,7,2023-03-30,64417,131611,
441,272,5,2022-10-18,605695,622770,
442,139,25,2023-06-16,763567,783524,
443,531,36,2023-08-09,239244,179285,2023-08-09
444,311,24,2023-04-06,994499,242912,2023-05-24
445,724,28,2023-07-12,460878,479365,
446,393,33,2023-06-06,83419,100050,
447,329,18,2023-08-04,462399,480366,
448,333,56,2023-07-16,986331,1007640,
449,21,63,2023-07-03,364497,366419,
450,326,14,2023-04-02,186671,56891,2023-05-12
451,120,38,2023-07-25,531716,545361,
452,135,17,2023-03-24,521550,532121,
453,506,56,2023-04-03,482743,407003,2023-06-03
454,554,73,2023-08-07,612237,86651,2023-08-09
455,330,49,2023-05-04,957842,556599,2023-06-29
456,29,37,2023-04-29,854432,859724,
457,43,4,2023-07-18,88591,83177,2023-08-01
458,273,41,2023-07-09,488602,398255,2023-08-06
459,402,33,2023-07-14,765926,786173,
460,741,73,2023-07-20,823093,831568,
461,296,47,2023-04-24,532486,541151,
462,173,8,2023-07-07,193361,223326,
463,167,62,2023-04-25,541146,445974,2023-08-10
464,84,3,2023-02-14,209011,218565,
465,648,47,2023-07-30,881619,887896,
466,206,25,2023-08-05,725348,740810,
467,342,71,2023-06-06,918830,936885,
468,126,62,2023-05-26,740925,748756,
469,399,46,2023-03-02,971160,112289,2023-06-17
470,733,71,2023-08-10,712322,228485,2023-08-11
471,727,29,2023-07-14,327694,345729,
472,265,26,2022-11-08,97556,106440,
473,334,19,2023-04-15,772988,111180,2023-04-15
474,265,72,2023-03-30,542922,570565,
475,667,36,2023-06-04,686222,695975,
476,97,26,2023-04-24,631093,640923,
477,730,21,2022-11-03,434869,109692,2023-05-12
478,718,11,2023-07-26,872816,238393,2023-08-06
479,617,48,2023-07-30,936392,937797,
480,741,8,2023-06-08,872505,873201,
481,571,66,2023-08-08,854966,855372,
482,468,66,2023-03-31,350319,374595,
483,594,42,2022-10-29,358961,32181,2023-07-09
484,704,35,2023-07-24,60969,78819,
485,163,52,2022-11-25,782544,443797,2023-05-07
486,722,63,2022-10-14,693029,487210,2022-12-31
487,321,42,2023-05-29,961609,972866,
488,471,65,2023-07-15,412033,424626,
489,59,10,2023-08-07,465315,446383,2023-08-09
490,726,35,2023-06-12,677537,452200,2023-08-09
491,77,37,2023-08-08,504751,523344,
492,371,70,2023-04-08,450915,330975,2023-04-17
493,580,51,2023-07-26,857591,867170,
494,685,49,2023-02-04,323352,363694,
495,745,33,2023-06-07,815720,835838,
496,318,23,2023-03-17,158547,176574,
497,672,55,2023-07-08,494578,518802,
498,38,16,2023-07-21,792325,793451,
499,101,34,2023-05-13,645112,676009,
500,606,72,2023-08-09,584620,614708,
501,723,68,2023-06-27,848179,535066,2023-07-14
502,438,29,2023-01-20,758778,647751,2023-05-15
503,387,55,2023-07-18,714488,78136,2023-08-10
504,8,73,2023-03-11,116263,117374,
505,186,47,2023-03-17,722356,737649,
506,483,24,2023-07-18,502162,526930,
507,156,26,2023-06-27,592985,557605,2023-07-08
508,372,67,2023-06-17,238526,245250,
509,612,23,2023-07-28,764742,146591,2023-08-08
510,483,52,2023-08-06,355584,365864,
511,734,47,2023-08-10,317802,35208,2023-08-11
512,635,11,2023-03-17,573608,601609,
513,670,44,2023-05-05,318487,319264,
514,484,36,2023-05-05,596595,606611,
515,647,60,2023-04-25,338858,363208,
516,611,24,2023-08-11,997974,354900,2023-08-11
517,642,57,2023-06-26,988686,998770,
518,322,30,2023-05-08,827503,844802,
519,701,42,2023-06-16,733358,736074,
520,644,17,2023-06-07,84186,112359,
521,702,18,2023-07-18,978353,993579,
522,362,6,2023-07-12,971582,977993,
523,517,60,2022-10-02,241453,262566,
524,194,38,2023-07-04,220991,183993,2023-07-04
525,101,5,2023-05-02,244913,46735,2023-07-11
526,695,57,2023-07-20,171671,112557,2023-08-07
527,661,10,2023-07-11,968519,978337,
528,642,50,2023-05-27,897918,914665,
529,288,49,2023-02-17,280786,303165,
530,500,72,2023-05-25,773589,311927,2023-06-08
531,635,60,2023-04-24,270466,296815,
532,626,71,2023-07-05,435059,374909,2023-08-02
533,654,71,2023-02-05,307093,333629,
534,306,5,2023-08-10,867061,656065,2023-08-11
535,160,16,2023-06-04,390185,391975,
536,685,66,2023-04-28,930509,936094,
537,543,40,2023-07-05,74715,131206,
538,705,6,2023-05-22,586170,621456,
539,683,53,2023-08-04,855985,141461,2023-08-09
540,749,70,2023-07-19,337003,358528,
541,1,47,2023-02-08,623287,625910,
542,346,8,2023-07-07,972155,345688,2023-07-09
543,421,33,2023-07-26,546395,564465,
544,284,9,2023-08-02,310369,316940,
545,272,5,2023-05-06,993472,998664,
546,254,14,2023-08-06,55173,91994,
547,280,21,2023-08-04,395686,447582,
548,44,54,2023-06-21,410890,431397,
549,484,68,2023-07-02,247934,264688,
550,678,64,2023-04-22,87291,105187,
551,428,58,2023-07-25,752276,243068,2023-08-03
552,495,35,2023-07-19,109419,132619,
553,71,25,2023-02-07,174958,199325,
554,672,4,2023-07-07,510495,537716,
555,272,36,2023-06-23,906873,517341,2023-07-11
556,88,41,2023-06-10,596385,599326,
557,541,60,2023-01-02,159516,169254,
558,647,38,2023-07-23,913289,564992,2023-07-28
559,754,4,2023-04-06,884729,888512,
560,714,66,2022-11-06,914369,115734,2023-06-08
561,707,54,2023-03-29,583390,486079,2023-06-22
562,369,28,2023-07-18,471278,513143,
563,423,51,2023-06-19,980300,950087,2023-07-29
564,80,54,2023-01-16,478864,498517,
565,213,68,2023-07-19,51565,93541,
566,373,50,2023-08-02,977950,565305,2023-08-09
567,201,9,2023-02-21,94403,97679,
568,543,54,2023-08-05,269565,101772,2023-08-11
569,527,46,2023-04-06,890841,503430,2023-07-05
570,205,4,2023-06-10,440318,481172,
571,354,37,2022-10-21,826333,669016,2022-12-18
572,632,52,2023-08-05,263290,231168,2023-08-11
573,112,73,2023-06-17,872533,161206,2023-08-02
574,699,11,2023-08-05,242126,187655,2023-08-10
575,50,11,2023-07-17,581375,605776,
576,512,20,2023-07-02,934576,839940,2023-07-20
577,307,29,2022-09-20,636347,173940,2023-04-13
578,389,42,2023-05-27,518748,171428,2023-07-05
579,179,68,2023-04-12,498276,517213,
580,493,55,2023-06-26,648794,672730,
581,99,63,2023-06-27,774926,503706,2023-07-17
582,725,64,2023-02-05,386546,392690,
583,318,31,2023-03-25,928796,290379,2023-07-08
584,278,41,2022-12-20,842002,652636,2023-03-11
585,74,33,2023-07-14,641118,653751,
586,612,52,2023-07-28,606899,608731,
587,709,68,2023-07-29,346566,381081,
588,190,7,2023-03-08,695053,101583,2023-06-05
589,472,23,2023-05-03,767095,776427,
590,324,66,2023-08-09,250483,267984,
591,365,6,2023-03-19,533849,556553,
592,148,66,2023-08-01,731040,743442,
593,720,62,2023-05-26,208881,222432,
594,437,7,2023-05-28,932017,937355,
595,99,63,2023-07-22,358863,370249,
596,569,66,2022-11-02,521768,527219,
597,343,43,2023-04-26,976979,748167,2023-07-21
598,238,13,2023-07-31,646761,651730,
599,149,39,2023-06-14,915253,921929,
600,474,34,2023-07-27,780169,800242,
601,103,10,2023-04-14,944812,948146,
602,553,8,2023-07-02,991590,824822,2023-07-07
603,436,70,2023-08-07,939961,172997,2023-08-11
604,635,22,2023-05-26,931470,922146,2023-06-19
605,356,57,2023-06-08,932303,282740,2023-06-28
606,110,72,2023-02-07,511496,536621,
607,157,2,2023-07-27,459117,197541,2023-08-03
608,276,68,2023-06-06,887075,861745,2023-06-21
609,605,9,2023-06-22,634389,638898,
610,522,73,2023-06-29,332871,369476,
611,682,44,2023-07-29,174381,208472,
612,497,65,2023-05-26,484515,269999,2023-07-23
613,657,31,2023-06-14,658728,640933,2023-07-22
614,272,70,2023-03-18,454402,204164,2023-06-21
615,567,22,2023-06-21,153515,172350,
616,383,43,2023-04-30,697186,689059,2023-06-20
617,41,65,2023-03-14,68442,87101,
618,109,30,2023-06-15,420114,421730,
619,576,36,2023-06-29,711676,715882,
620,508,14,2023-07-12,287519,293717,
621,441,31,2023-05-02,139022,205604,
622,630,55,2023-07-24,355805,410750,
623,612,34,2023-08-07,740118,759248,
624,503,38,2023-05-23,329080,353907,
625,629,3,2023-07-10,373148,297528,2023-08-01
626,639,26,2023-03-17,989800,317649,2023-07-06
627,117,17,2023-03-03,797994,807192,
628,85,56,2023-07-14,418151,427713,
629,288,43,2023-01-08,742925,223871,2023-03-20
630,361,15,2023-03-22,457026,498943,
