user_id,transaction_date,amount
115,2023-08-08,785
118,2023-08-18,634
118,2023-08-18,516
286,2023-08-13,356
286,2023-08-13,628
328,2023-08-23,426
14,2023-08-06,796
14,2023-08-06,741
53,2023-08-21,547
139,2023-08-30,764
139,2023-08-30,687
9,2023-08-17,521
9,2023-08-17,661
9,2023-08-17,681
55,2023-08-15,445
327,2023-08-06,758
260,2023-08-12,323
260,2023-08-12,429
299,2023-08-26,676
314,2023-08-16,449
314,2023-08-16,688
314,2023-08-16,757
155,2023-08-11,520
34,2023-08-12,653
34,2023-08-12,454
90,2023-08-18,746
30,2023-08-25,525
30,2023-08-25,684
329,2023-08-17,378
329,2023-08-17,320
59,2023-08-31,460
275,2023-08-23,322
275,2023-08-23,433
16,2023-08-27,709
16,2023-08-27,397
296,2023-08-07,514
296,2023-08-07,629
305,2023-08-18,793
305,2023-08-18,593
298,2023-08-23,796
64,2023-08-12,586
64,2023-08-12,352
64,2023-08-12,732
42,2023-08-22,766
368,2023-08-20,356
368,2023-08-20,426
368,2023-08-20,662
372,2023-08-02,387
372,2023-08-02,374
372,2023-08-02,369
156,2023-08-08,398
156,2023-08-08,652
156,2023-08-08,375
336,2023-08-24,317
336,2023-08-24,669
229,2023-08-11,556
330,2023-08-19,705
330,2023-08-19,447
330,2023-08-19,791
67,2023-08-14,398
67,2023-08-14,324
83,2023-08-11,624
74,2023-08-24,539
74,2023-08-24,493
144,2023-08-08,504
144,2023-08-08,410
398,2023-08-18,664
398,2023-08-18,646
315,2023-08-20,659
315,2023-08-20,341
315,2023-08-20,707
145,2023-08-30,702
145,2023-08-30,439
77,2023-08-21,644
369,2023-08-26,664
369,2023-08-26,376
387,2023-08-21,734
387,2023-08-21,736
178,2023-08-05,480
178,2023-08-05,377
178,2023-08-05,758
344,2023-08-18,779
275,2023-08-01,558
275,2023-08-01,629
275,2023-08-01,507
315,2023-08-20,367
315,2023-08-20,396
144,2023-08-11,685
144,2023-08-11,744
144,2023-08-11,501
183,2023-08-19,615
75,2023-08-12,394
164,2023-08-28,779
164,2023-08-28,311
67,2023-08-22,383
67,2023-08-22,549
53,2023-08-17,507
53,2023-08-17,651
12,2023-08-05,319
12,2023-08-05,684
258,2023-08-07,783
258,2023-08-07,420
258,2023-08-07,514
246,2023-08-22,385
246,2023-08-22,726
246,2023-08-22,316
81,2023-08-12,473
91,2023-08-22,685
91,2023-08-22,326
94,2023-08-22,642
303,2023-08-30,448
140,2023-08-30,410
140,2023-08-30,608
140,2023-08-30,325
321,2023-08-09,637
321,2023-08-09,676
321,2023-08-09,311
247,2023-08-29,691
14,2023-08-31,345
14,2023-08-31,663
377,2023-08-06,789
377,2023-08-06,734
316,2023-08-09,616
209,2023-08-18,608
24,2023-08-07,660
24,2023-08-07,341
51,2023-08-16,767
51,2023-08-16,716
51,2023-08-16,707
389,2023-08-16,519
389,2023-08-16,573
30,2023-08-13,727
30,2023-08-13,717
30,2023-08-13,382
396,2023-08-27,486
396,2023-08-27,447
396,2023-08-27,547
302,2023-08-30,582
302,2023-08-30,511
302,2023-08-30,588
176,2023-08-18,770
385,2023-08-31,408
385,2023-08-31,544
385,2023-08-31,639
241,2023-08-14,526
241,2023-08-14,642
327,2023-08-27,313
327,2023-08-27,523
327,2023-08-27,648
319,2023-08-08,473
319,2023-08-08,579
217,2023-08-21,398
217,2023-08-21,312
160,2023-08-19,726
160,2023-08-19,310
64,2023-08-28,661
118,2023-08-22,765
175,2023-08-29,769
135,2023-08-24,637
288,2023-08-21,619
288,2023-08-21,489
133,2023-08-21,360
133,2023-08-21,656
22,2023-08-30,749
22,2023-08-30,434
344,2023-08-26,449
344,2023-08-26,419
169,2023-08-01,738
169,2023-08-01,779
169,2023-08-01,555
388,2023-08-11,404
388,2023-08-11,532
139,2023-08-03,513
139,2023-08-03,649
139,2023-08-03,407
123,2023-08-06,654
123,2023-08-06,414
123,2023-08-06,621
182,2023-08-30,462
182,2023-08-30,662
51,2023-08-21,444
51,2023-08-21,684
207,2023-08-08,316
207,2023-08-08,744
207,2023-08-08,474
264,2023-08-06,650
139,2023-08-09,323
139,2023-08-09,407
90,2023-08-03,353
23,2023-08-22,724
23,2023-08-22,782
23,2023-08-22,353
214,2023-08-06,654
214,2023-08-06,356
24,2023-08-20,387
24,2023-08-20,585
24,2023-08-20,464
146,2023-08-31,638
146,2023-08-31,447
146,2023-08-31,574
71,2023-08-09,403
193,2023-08-01,414
254,2023-08-06,462
254,2023-08-06,327
254,2023-08-06,324
106,2023-08-02,522
237,2023-08-17,372
302,2023-08-03,505
302,2023-08-03,344
271,2023-08-01,313
271,2023-08-01,627
341,2023-08-07,426
341,2023-08-07,589
269,2023-08-29,428
269,2023-08-29,507
357,2023-08-31,663
48,2023-08-05,737
48,2023-08-05,657
48,2023-08-05,510
64,2023-08-20,409
64,2023-08-20,383
64,2023-08-20,800
236,2023-08-28,366
236,2023-08-28,512
45,2023-08-09,644
303,2023-08-29,585
303,2023-08-29,471
75,2023-08-04,357
47,2023-08-04,361
47,2023-08-04,666
304,2023-08-19,710
304,2023-08-19,537
304,2023-08-19,314
212,2023-08-30,772
91,2023-08-29,553
77,2023-08-05,448
255,2023-08-03,756
255,2023-08-03,401
255,2023-08-03,595
88,2023-08-12,584
88,2023-08-12,509
71,2023-08-19,330
71,2023-08-19,362
71,2023-08-19,653
227,2023-08-29,503
227,2023-08-29,415
130,2023-08-06,662
328,2023-08-12,402
328,2023-08-12,417
328,2023-08-12,633
344,2023-08-02,616
344,2023-08-02,656
187,2023-08-20,341
187,2023-08-20,405
43,2023-08-21,651
43,2023-08-21,477
43,2023-08-21,540
245,2023-08-24,609
245,2023-08-24,720
245,2023-08-24,529
361,2023-08-22,484
202,2023-08-25,768
202,2023-08-25,534
326,2023-08-27,702
326,2023-08-27,447
326,2023-08-27,600
21,2023-08-16,643
193,2023-08-30,688
193,2023-08-30,385
193,2023-08-30,694
82,2023-08-31,312
69,2023-08-22,485
59,2023-08-11,448
59,2023-08-11,326
59,2023-08-11,548
119,2023-08-12,366
119,2023-08-12,799
119,2023-08-12,724
213,2023-08-16,414
213,2023-08-16,388
213,2023-08-16,527
172,2023-08-31,389
237,2023-08-04,416
265,2023-08-30,453
255,2023-08-06,686
360,2023-08-29,732
360,2023-08-29,327
245,2023-08-01,339
81,2023-08-11,457
73,2023-08-13,735
73,2023-08-13,661
73,2023-08-13,733
34,2023-08-10,593
34,2023-08-10,791
34,2023-08-10,367
236,2023-08-25,394
236,2023-08-25,401
189,2023-08-08,581
189,2023-08-08,795
189,2023-08-08,558
332,2023-08-03,622
332,2023-08-03,332
378,2023-08-11,523
274,2023-08-14,605
274,2023-08-14,362
152,2023-08-03,557
181,2023-08-09,454
181,2023-08-09,794
181,2023-08-09,468
279,2023-08-18,327
279,2023-08-18,486
279,2023-08-18,346
22,2023-08-16,466
201,2023-08-04,358
197,2023-08-01,585
197,2023-08-01,687
216,2023-08-22,739
192,2023-08-08,434
192,2023-08-08,731
192,2023-08-08,637
21,2023-08-14,636
21,2023-08-14,520
21,2023-08-14,721
300,2023-08-29,659
300,2023-08-29,616
300,2023-08-29,728
89,2023-08-27,751
23,2023-08-09,369
23,2023-08-09,340
23,2023-08-09,795
276,2023-08-21,795
2,2023-08-05,414
2,2023-08-05,443
279,2023-08-13,609
279,2023-08-13,591
313,2023-08-29,520
313,2023-08-29,439
313,2023-08-29,476
67,2023-08-29,471
67,2023-08-29,500
24,2023-08-11,643
24,2023-08-11,475
40,2023-08-05,500
40,2023-08-05,361
300,2023-08-15,465
300,2023-08-15,750
300,2023-08-15,491
345,2023-08-01,421
345,2023-08-01,639
345,2023-08-01,546
270,2023-08-30,683
397,2023-08-04,800
397,2023-08-04,665
219,2023-08-31,561
219,2023-08-31,471
219,2023-08-31,537
291,2023-08-24,443
291,2023-08-24,611
76,2023-08-20,364
76,2023-08-20,670
156,2023-08-05,340
156,2023-08-05,311
180,2023-08-22,482
180,2023-08-22,694
212,2023-08-21,556
270,2023-08-17,354
270,2023-08-17,354
306,2023-08-04,711
306,2023-08-04,700
263,2023-08-26,571
247,2023-08-30,629
133,2023-08-24,645
298,2023-08-30,337
298,2023-08-30,421
298,2023-08-30,766
339,2023-08-29,325
339,2023-08-29,376
312,2023-08-05,347
312,2023-08-05,618
312,2023-08-05,624
183,2023-08-13,795
183,2023-08-13,441
183,2023-08-13,326
304,2023-08-13,584
304,2023-08-13,591
296,2023-08-02,597
296,2023-08-02,323
217,2023-08-08,402
217,2023-08-08,501
217,2023-08-08,441
287,2023-08-11,527
337,2023-08-18,358
337,2023-08-18,683
382,2023-08-27,556
382,2023-08-27,629
382,2023-08-27,668
201,2023-08-05,558
252,2023-08-12,725
317,2023-08-08,488
317,2023-08-08,467
240,2023-08-23,759
240,2023-08-23,421
103,2023-08-14,776
103,2023-08-14,443
96,2023-08-09,406
96,2023-08-09,676
96,2023-08-09,680
350,2023-08-19,577
350,2023-08-19,688
278,2023-08-01,766
278,2023-08-01,513
278,2023-08-01,587
184,2023-08-10,703
184,2023-08-10,562
184,2023-08-10,331
57,2023-08-27,799
57,2023-08-27,557
361,2023-08-12,382
183,2023-08-03,605
183,2023-08-03,796
183,2023-08-03,737
233,2023-08-18,546
311,2023-08-10,578
311,2023-08-10,314
250,2023-08-19,394
250,2023-08-19,697
202,2023-08-04,677
124,2023-08-13,678
124,2023-08-13,649
124,2023-08-13,441
185,2023-08-29,779
185,2023-08-29,460
200,2023-08-09,499
200,2023-08-09,350
124,2023-08-03,683
124,2023-08-03,378
298,2023-08-13,312
298,2023-08-13,733
298,2023-08-13,445
139,2023-08-27,722
139,2023-08-27,638
294,2023-08-22,454
311,2023-08-15,575
311,2023-08-15,445
203,2023-08-08,707
203,2023-08-08,792
203,2023-08-08,787
382,2023-08-26,643
382,2023-08-26,456
279,2023-08-14,542
279,2023-08-14,644
279,2023-08-14,430
262,2023-08-04,794
262,2023-08-04,433
62,2023-08-20,755
62,2023-08-20,794
62,2023-08-20,569
34,2023-08-11,529
400,2023-08-22,699
61,2023-08-26,445
61,2023-08-26,454
61,2023-08-26,472
337,2023-08-22,711
108,2023-08-25,678
108,2023-08-25,516
179,2023-08-31,444
388,2023-08-11,434
388,2023-08-11,650
391,2023-08-26,779
168,2023-08-28,799
117,2023-08-04,423
117,2023-08-04,530
57,2023-08-01,534
218,2023-08-20,586
218,2023-08-20,383
260,2023-08-01,665
11,2023-08-21,717
11,2023-08-21,432
11,2023-08-21,362
393,2023-08-09,629
393,2023-08-09,573
379,2023-08-10,507
379,2023-08-10,321
379,2023-08-10,681
197,2023-08-14,420
287,2023-08-10,392
287,2023-08-10,799
238,2023-08-21,644
238,2023-08-21,365
238,2023-08-21,502
164,2023-08-08,371
266,2023-08-14,600
266,2023-08-14,601
266,2023-08-14,327
219,2023-08-04,329
157,2023-08-26,604
157,2023-08-26,776
34,2023-08-26,594
34,2023-08-26,565
131,2023-08-13,582
395,2023-08-10,617
395,2023-08-10,345
395,2023-08-10,327
149,2023-08-02,487
18,2023-08-12,781
18,2023-08-12,723
310,2023-08-08,363
310,2023-08-08,394
298,2023-08-24,548
76,2023-08-12,752
76,2023-08-12,392
76,2023-08-12,733
37,2023-08-29,425
3,2023-08-29,620
92,2023-08-25,638
92,2023-08-25,733
92,2023-08-25,597
354,2023-08-01,575
354,2023-08-01,532
354,2023-08-01,319
358,2023-08-12,664
358,2023-08-12,609
358,2023-08-12,621
14,2023-08-07,694
98,2023-08-24,411
98,2023-08-24,564
321,2023-08-15,534
321,2023-08-15,312
2,2023-08-19,775
62,2023-08-18,602
62,2023-08-18,329
282,2023-08-31,315
282,2023-08-31,741
282,2023-08-31,479
339,2023-08-10,377
339,2023-08-10,556
